,0
389,"b'angrywillhelms' b'genius,' b'the' b'politically' b'correct' b'term' b'would' b'be' b'""intellectually' b'disabled.""' b""it's"" b'highly' b'offensive' b'to' b'use' b'the' b'word'"
390,b'anotherpotheadd' b'lucky'
391,b'anthonycumia' b'cokelogic' b'hey' b'antony' b'you' b'speaks' b'colored'
392,"b'anthonycumia' b'enjoy' b""it,i'm"" b'happy' b'for' b'you,but' b'i' b'hate' b'the' b'yankees,and' b'yes' b'the' b'sox' b'did'"
393,b'ants_sneweather' b'well' b'you' b'got' b'to' b'see' b'pom-pom'
394,b'arcticfox2016' b'everybody' b'mocks' b'obama' b'.hes' b'an' b'embarrassment' b'to' b'the'
395,b'astroscounty' b'jeff' b'luhnow' b'is' b'to' b'blame' b'for' b'the' b'astros' b'not' b'blowing' b'out' b'the' b'red' b'sox' b'and' b'yankees'
396,"b'auroramwj' b'marylmcaffry' b'bbanimals' b""it's"" b'a' b'mutation.' b'genealogy' b'is' b'convoluted.' b'basically' b'the' b'zebra' b'gene' b'currieries' b'are'"
397,b'austinburge44' b'either' b'way' b'both' b'schools' b'are' b'trash'
398,b'austinthaintern' b'johnny' b'football' b'is' b'trash' b'man.' b'trash.'
399,b'autyaut_' b'i' b'miss' b'you!!!' b'*eating' b'as' b'we' b'speak*' b'i' b'miss' b'you' b'red' b'bone' b'and' b'that' b'cooking'
400,b'bnightengale' b'feinsandnydn' b'time' b'for' b'ranger' b'scouts' b'to' b'head' b'out' b'and' b'watch' b'some' b'yankee'
401,b'baconparadox' b'for' b'two' b'year' b'old'
402,b'barackobama' b'biden' b'was' b'a' b'winner' b'last' b'night?' b'yea' b'right' b'like' b'charlie' b'sheen' b'really' b'was' b'a' b'a' b'winner' b'too....' b'#winning'
403,"b'barackobama' b'l' b'voted' b'and' b'supported' b'u' b'and' b'u' b'pulled' b'the' b'rug' b'out' b'from' b'under' b'us,' b'a' b'nation' b'and' b'worse,' b'cuz' b'were' b'not' b'in' b'""your' b'circle""' b'were'"
404,b'basketballpics' b'whoever' b'made' b'this' b'twitter' b'doesnt' b'like' b'the' b'lakers...' b'they' b'r' b'making' b'a' b'comeback' b'but' b'this' b'accnt' b'still' b'continues' b'to' b'trash' b'talk'
405,b'beattyjustin' b'kyoppcoalition' b'i' b'am' b'one' b'proud'
406,b'beaviscumia' b'jimmysdong' b'dat' b'cat' b'gonna' b'scratch' b'all' b'up' b'on' b'dat' b'colored' b'boy' b'and' b'he' b'gonna' b'end' b'up' b'in' b'da' b'chow'
407,"b'beekayns' b'alas,' b'i' b'am' b'proficient' b'in' b'neither.' b'my' b'skills' b'are' b'limited' b'to' b'pointless' b'stat' b'memorization' b'+' b'trash'"
408,"b'bettinavla' b'9975ts' b'senwarren' b""she's"" b'just' b'another' b'straight-up' b'conscienceless' b'liar.' b'soulless' b'criminal'"
409,b'bigcatcooke' b'deserved' b'victory!' b'#elite8' b'awaits' b'your' b'#orange' b'army.' b'#sweet16' b'was' b'no' b'disgrace' b'#collegehoops' b'ill' b'be' b'back' b'next'
410,b'big_jim777' b'happy' b'birthday' b'you' b'dirty' b'little' b'bird' b'&#128520;' b'tear' b'it' b'up'
411,"b'billperiman' b'or' b'as' b'i' b'like' b'to' b'put' b'it' b""'looking"" b'through' b'race' b'colored' b""glasses'"""
412,b'billythathird' b'matt_sliwinski' b'copy' b'my' b'tweet' b'again' b'you'
413,b'bitterchick' b'dare' b'be' b'only' b'one' b'bag' b'dat' b'folks' b'be' b'suckin' b'on' b'what' b'i' b'comes' b'to' b'yo' b'partayyyy!' b'all' b'da' b'ofay' b'be' b'wantin' b'to' b'ride' b'in' b'my'
414,"b'blackmanusa' b'chrislhayes' b'well' b""that's"" b'some' b'cracker' b'jack' b'secret' b'service' b'work' b'there.' b'jfk'"
415,b'blackmanusa' b'texasdivepro' b'historical' b'point:' b'cracker' b'was' b'a' b'term' b'for' b'the' b'irish' b'settling' b'in' b'the' b'woods' b'of' b'the' b'mid-atlantic.' b'hardly'
416,b'blackman38tide' b'bandana' b'orian.' b'they' b'called' b'me' b'trailer' b'trash' b'for' b'wearing' b'my' b'lil' b'country' b'getup'
417,b'blakeanderson21' b'jo_clark6' b'chicken' b'fried' b'steak' b'it' b'is' b'boys' b'mash' b'potatoes' b'gravy' b'green' b'beans' b'corn' b'an' b'ice' b'cream' b'an' b'brownies' b'for'
418,b'blakeanderson21' b'thanks' b'hun!'
419,"b'boazziz' b'he' b'promised' b'to' b'stand' b'with' b'the' b'muzzies,'"
420,"b'bolanddrummer' b'i' b'have' b'never' b'once' b'in' b'my' b'life' b'been' b'to' b'a' b""'coffee"" b""shop'"" b'like' b'starbucks.' b'i' b'am' b'a' b'hick'"
421,b'bombfantasyyy' b'pearl' b'jam:' b'yellow'
422,"b'bonesaw00' b""there's"" b'a' b'reason' b'why' b'the' b'yankees' b""don't"" b'want' b'anderson' b'any'"
423,"b'boner4tuna' b'tcc_grouchy' b'mrs__met' b'vortmax29' b'llmajer' b'dmb1031' b'aplmom' b'frogtox' b'kishkaandpipiks' b""i've"" b'had' b'shots' b'go' b'off' b'where' b'yellow'"
424,b'boobah_' b'they'
425,"b'bookoutbj' b""that's"" b'ghetto' b'for' b'super' b'duper!' b""it's"" b'the' b'current' b'generations' b'best'"
426,"b'brelston' b'i' b'realized' b""it's"" b'the' b'one' b'on' b""link's"" b'awakening' b'too,' b'so' b'you' b'killed' b'two' b'birds' b'with' b'one' b'stone.' b'unless' b""you're"" b'getting' b'the' b'wind' b'fish'"
427,b'brenjjgmom' b'hweldon' b'well...how' b'about' b'those' b'yankees' b'this' b'year?' b'what' b'a'
428,b'briannalovesa' b'my' b'trick' b'is' b'i' b'wait' b'for' b'the' b'bird' b'to' b'get' b'close' b'to' b'the' b'pipe' b'and' b'then' b'tap' b'the' b'screen!' b'so' b'you' b'never' b'hit' b'your'
429,"b'briccone79' b'pvvrivierenland' b'ja' b'moest' b'van' b'plisie' b'niet' b'meteen' b'wild' b'gaan' b'denken.juistja,willen' b'wel' b'meer' b'mensen' b'mij' b'vertellen' b'hoe' b'k' b'moet'"
430,"b'bryanstars' b'atl,' b'bvb,' b'sws,' b'ptv,' b'the' b'relapse' b'symphony,' b'set' b'it' b'off,' b'farewell,' b'my' b'love,' b'mayday' b'parade,' b'fob,' b'paramore,'"
431,b'buckm00se' b'cuauhtli02' b'we' b'gunna' b'laff' b'at' b'chava/rubio' b'beaner' b'supporters' b'in' b'a'
432,b'buckm00se' b'lexxx_ruger' b'ivanrabago_' b'the' b'kikes' b'want' b'to' b'charge' b'you' b'&#128175;' b'dollaz' b'for' b'the' b'complete'
433,b'buster_espn' b'huh.....last' b'10' b'games..tampa' b'8-2/balt' b'7-3/yanks' b'6-4...and' b'they' b'lost' b'their' b'best' b'pitcher.' b'please' b'explain' b'your'
434,b'buster_espn' b'sounds' b'like' b'they' b'are' b'holding' b'back' b'info.......yankee'
435,b'bywatergal' b'yankees' b'empirestatebldg' b'that' b'game' b'winning' b'hit' b'in' b'thursday' b'capped' b'a' b'great' b'career.' b'the' b'guy' b'is' b'a' b'1st' b'ballot' b'hof.' b'or'
436,b'cantista' b'brelston' b'henereyg' b'eating' b'a' b'roasted' b'potato' b'and' b'smiling' b'till' b'my' b'cheeks' b'are' b'sore;' b'the' b'crow' b'sfx' b'in' b'this' b'cape' b'crisis' b'are'
437,b'cbsthismorning' b'norahodonnell' b'tx' b'trash' b'you' b'know' b'trouble' b'w' b'aca' b'is' b'in' b'gop' b'gov' b'states' b'but' b'like' b'60' b'laralogan_news' b'you' b'report' b'lies'
438,b'cbsthismorning' b'charlierose' b'norahodonnell' b'tx' b'trash' b'your' b'show' b'was' b'a' b'disgrace' b'this' b'am' b'engaging' b'w' b'mittromney' b'disrespecting' b'the'
439,b'cbsthismorning' b'charlierose' b'racist' b'norahodonnell' b'tx' b'trash' b'enjoy' b'your' b'high' b'along' b'with' b'gop' b'win' b'a' b'substitute' b'for' b'racist' b'mittromney'
440,"b'ccobey' b'tess_stepakoff' b'there' b""isn't"" b'a' b'green' b'one' b'either.' b""there's"" b'red' b'and' b'yellow' b'in' b'that'"
441,"b'callneeshcakey' b'no' b',' b'a' b'pop' b'wop'"
442,b'callneeshcakey' b'pop' b'wop' b'and' b'drop' b'it'
443,b'callneeshcakey' b'we' b'in' b'this' b'bitch' b'finna' b'get' b'crunk' b'eyebrows' b'on' b'double' b'papp'
444,"b'capitolevan' b""that's"" b'where' b'i' b'saw' b'the' b'leprechaun.' b'he' b'told' b'me' b'to' b'burn'"
445,"b'carlavanderwaal' b'jaymaroley' b'&amp;' b'als' b'je' b'over' b'syrie' b'tweet,' b'volg' b'partisangirl' b'maar,' b'zij' b'komt' b'er' b'vandaan' b'&amp;' b'zal' b'je' b'precies' b'uitleggen' b'hoe' b'of'"
446,b'carxlito' b'ps3' b'and' b'case' b'is' b'still' b'in' b'the' b'trash' b'can.' b'idgaf'
447,b'catholicmomva' b'neal_dewing' b'that' b'would' b'cripple' b'our' b'military'
448,"b'cay_jen' b'i' b""didn't"" b'think' b'you' b'knew' b'of' b'a' b'bird' b'that' b""couldn't"" b'be'"
449,b'ceallaighaine' b'oh' b'no!' b'sorry' b'hun.' b'that' b'sucks.' b'hope' b'you' b'heal' b'fast.'
450,"b'cee_murda94' b'no' b""it's"" b'yellow' b'fin.' b""it's"" b'in'"
451,b'cee_murda94' b'yellow'
452,b'cellnbuu' b'ewwww' b'her' b'nips' b'are' b'def' b'more' b'perfect' b'than'
453,b'chaldeancutie' b'really?' b'rileyaintshit' b'killsheredon' b'childishcudl' b'are' b'my' b'nudes'
454,"b'chancellor_iv' b'naw' b'bryan' b'said' b'it' b'was' b'trash' b'hotel' b'so' b""we're"" b'staying' b'somewhere'"
455,"b'charlesbwaffle' b'oh' b'i' b'am..' b'she' b'cool' b'though,' b'might' b'off' b'her' b'a' b'brownie'"
456,b'charlie4927' b'stacydmomof5' b'revkahjc' b'cantucimblonde' b'kacado' b'pattism74' b'hi'
457,"b'charlie4927' b'hi' b'charlie,' b'have' b'a' b'great'"
458,"b'charliedaniels' b'come' b'on' b'charlie!' b'our' b'government' b'was' b'just' b'trying' b'to' b'protect' b'the' b'desert' b'tortoise!' b'atleast,' b""that's"" b'what' b'barack' b'obama'"
459,b'checkmylingo_' b'kingpin_terror' b'ima' b'get' b'this' b'so' b'every' b'time' b'i' b'throw' b'trash' b'away' b'its' b'where' b'it' b'really'
460,"b'chickencoleman' b'if' b'mccoy' b""wasn't"" b'trash' b""that's"" b'a'"
461,b'chink_19' b'chink' b'thats' b'better' b'then' b'having' b'the' b'rug' b'rats' b'running' b'around' b'yah' b'crib' b'girl' b'enjoy' b'life'
462,b'chrissfmori' b'gun' b'sales' b'have' b'skyrocketed.' b'gun' b'crime' b'has' b'fallen' b'sharply.' b'any' b'claim' b'to' b'the' b'contrary' b'is' b'using' b'fuzzy'
463,"b'christrondsen' b'im5band' b'#askim5' b'would' b'you' b'rather' b'drink' b'squirrel' b'pee' b'or' b'johnny' b""depp's"" b'wig' b'in' b'charlie' b'and' b'the' b'chocolate'"
464,"b'claudialena8' b'she' b""wasn't"" b'saying' b'she' b'did,' b'but' b'yes' b'me' b'and' b'kannon' b'have' b'both' b'been' b'in' b'the' b'ghetto' b'and' b'know' b'what' b""it's"" b'like' b'so' b'u' b'look'"
465,b'clicquotsuave' b'the' b'new' b'nip' b'dropped' b'today'
466,"b'cogitoergobibo' b'penske' b'runs' b'the' b'22' b'in' b'nascar.' b""it's"" b'yellow.' b""there's"" b'a' b'sponsor' b'already'"
467,"b'cokamoschiach_' b'his' b'defense' b'is' b'trash,' b'and' b""he's"" b'been' b'rocked' b'by' b'jesus' b'soto' b'karass,' b'and' b'diego'"
468,b'colemcdowell2' b'waco' b'is' b'ghetto' b'hahaha.' b'wait' b'til' b'we' b'go' b'pick' b'up' b'nat' b'in' b'austin'
469,"b'complexmag' b'i' b""didn't"" b'know' b'#whitetears' b'were' b'blue' b'and'"
470,b'conanobrien' b'dat' b'is' b'one' b'ugly' b'animal' b'but' b'da' b'monkey' b'is'
471,b'crewz76' b'i' b'miss' b'tupac' b'rap' b'offs'
472,b'cruzanchoklate' b'look' b'at' b'you' b'with' b'yellow'
473,b'dhsjournal' b'i' b'run' b'cp' b'in' b'our' b'community.' b'local' b'cops' b'treat' b'ppl' b'like' b'trash' b'for' b'that.' b'i' b'hate' b'it.' b'makes' b'ppl' b'think' b'its' b'a'
474,b'directv' b'why' b'are' b'you' b'showing' b'yankees' b'game' b'in' b'arizona' b'when' b'you' b'promo' b'washington' b'huskies' b'game?' b'i' b'bet' b'dish' b'would' b'want' b'my'
475,"b'darealalexinla' b'buckm00se' b'he' b""wasn't"" b'training' b'gook' b'boy'"
476,"b'damianhuffaker' b""you're"" b'from' b'a' b'trash'"
477,"b'danwolken' b""it's"" b'idiotic' b'opinions' b'like' b'this' b'that' b'make' b'polls' b'less' b'than' b'trash.' b'polls' b""weren't"" b'a' b'problem' b'when' b'people' b'with' b'integrity' b'were'"
478,"b'dannymndz93' b'titan21mtzzz' b""he's"" b'still' b'a' b'pogue'"
479,"b'danny_cavanagh....available' b'online' b'soon?' b'i' b""didn't"" b'have' b'enough' b'to' b'get' b'it' b'after' b'my' b'anathema' b'merch.' b""it's"" b'a' b'cracker,' b'i' b'need' b'it.' b'can'"
480,"b'darknight420' b""it's"" b'showing' b'fairy' b'blocked' b'me' b'hajihuntingpat' b'paulsmitheringa' b'joedouglas1' b'jewjitsugrl' b'blackorchidm16'"
481,"b'darthmaverick7' b'xcntrik' b'religulous' b'chrispyosh' b'rather' b'than' b'believe' b'that' b'there' b'was' b'a' b'man' b'who' b'was' b'the' b'very' b'definition' b'of' b'good,' b'u' b'mock'"
482,b'dave_the_wavee' b'the' b'giants' b'are' b'trash...their' b'time' b'is'
483,"b'david_h_esq' b'well,' b'""dirty' b'bird""' b'could' b'be' b'just' b'a' b'middle' b'finger,' b'since' b""it's"" b'the' b'phallic' b'""giving' b'the' b'bird"".' b'not' b'necessarily' b'a'"
484,b'dearionbasedgod' b'kendrick' b'is' b'not' b'better' b'than' b'papoose' b'or'
485,b'dejloaf' b'mixtape' b'sell' b'sole' b'got' b'some'
486,"b'decimate_ix' b""can't"" b'even' b'spell' b'right.' b'you' b'have' b'the' b'brain' b'of' b'an'"
487,"b'derekisnormal' b'rt' b'crappyfactsare' b'mcrib' b'buns' b'contain' b'a' b'chemical' b'""azodicarbonamide""' b'which' b'is' b'also' b'used' b'to' b'make' b'yoga' b'mats' b'&amp;' b'soles' b'of'"
488,"b'devilgrimz' b'ironic' b'that' b""he's"" b'a' b'trashcan' b'because' b'he' b'holds' b'trash' b'everytime' b'you' b'two' b'cuddle!'"
489,"b'dietrich1892' b""i'll"" b'show' b'up' b'and' b'chug' b'a' b'beer' b'or'"
490,"b'dinolich' b""don't"" b'yell' b'at' b'me,' b'i' b'love' b'both' b'of' b'the' b'evolutionary' b'lines.' b'claudiavice' b'despises' b'the' b'trash'"
491,"b'divamonroe2uhoe' b'cheefpolo' b'hoe' b'hoe' b'hoe,' b'merry'"
492,"b'dizzybala' b'god' b'awful,' b'and' b'that' b'dude' b'is' b'dorian' b'/' b'eggplant'"
493,b'doemostdope' b'mattrbennett209' b'johnniegoings' b'ha' b'booner' b'has' b'that' b'twitter' b'boone_boone5356'
494,"b'dolfyadolf' b""y'all"" b'gots' b'betta' b'machinery' b'fo' b'dat.' b'hanger' b'be'"
495,b'donlemoncnn' b'danabashcnn' b'u' b'both' b'sorry' b'to' b'give' b'racist' b'sentedcruz' b'a' b'platform' b'w' b'his' b'trash' b'language' b'dana' b'ur' b'intvw' b'was' b'below' b'kindergarten'
496,b'dswizzle3' b'dswizzle' b'boy' b'u' b'look' b'like' b'big' b'bird' b'off' b'of' b'sesame'
497,b'dylankwinnn' b'should' b'be' b'going' b'to' b'free' b'birds'
498,"b'easportsfifa' b'next' b'update,' b'would' b'be' b'amazin' b'if' b'two' b'celebrations' b'were' b'added.' b'1:' b'shirt' b'off' b'(' b""we'll"" b'take' b'the' b'yellow)' b'and' b'2:' b'the'"
499,"b'eakaerick' b'i' b""wouldn't"" b'share' b'a' b'wave' b'with' b'those' b'trash'"
500,b'ehh_donttouchme' b'kourtj3000' b'bria_leeandrea' b'thats'
501,"b'el_grillo1' b'off' b'to' b'the' b'east' b'of' b'your' b'current' b'location,' b'on' b'an' b'east-facing' b'slope' b'(dry' b'side' b'of' b'a' b'dry'"
502,b'emmalouisasuttl' b'timmyn90' b'anyone' b'bring' b'in' b'a'
503,b'emmalouisasuttl' b'hit' b'the' b'clam' b'chowder.thanks' b'for' b'the' b'wishes' b'and' b'the'
504,b'entmagazine' b'magisto' b'digitalskeptic' b'we' b'have' b'a' b'project' b'that' b'could' b'lead' b'into' b'a' b'military' b'program' b'but' b'requires' b'a' b'full' b'op' b'mock' b'up' b'for'
505,b'ericbaetsle' b'your' b'a'
506,b'evan_p_grant' b'i' b'can' b'only' b'hope' b'charlie'
507,"b'everybodyhatesv' b'i' b'read' b'a' b'black' b'man' b'tweet' b'hot' b'sauce' b'is' b'trash' b'&amp;' b'watermelon' b'is' b'overrated.' b'i' b""can't"""
508,b'evettecoleman' b'lol' b'true' b'i' b'just' b'want' b'fried'
509,b'exurbankevin' b'birds' b'of' b'a' b'feather' b'flock' b'together?'
510,"b'eyeonpolitics' b'chrisloesch' b'as' b'long' b'as' b'its' b'not' b'one' b'of' b'those' b'""special' b'brownies""'"
511,b'fifacom' b'pepe' b'because' b'his' b'defending' b'was' b'outstanding!' b'his' b'tackles' b'were' b'accurate' b'nd' b'he' b'did' b'hos' b'job' b'perfectly' b'in' b'both'
512,b'fazedavls' b'soar_wvyy' b'soar_haze' b'fazeoutcst' b'this' b'is' b'gobbledy' b'gook' b'to' b'me' b'because' b'i' b'dont' b'have' b'the'
513,b'fabulousjonna_' b'i' b'need' b'some' b'red' b'green' b'&amp;' b'yellow' b'pants' b'&amp;' b'helly' b'shirts'
514,b'fattyytooraw' b'well' b'ontario' b'is' b'like' b'kind' b'of' b'a' b'dump' b'now' b'that' b'the' b'ghetto' b'moved' b'here' b'since' b'its' b'cheaper' b'to' b'live' b'here' b'so..'
515,"b'femshaveballz' b'have' b'u' b'spent' b'significant' b'time' b'in' b'any' b'ghetto,' b'or' b'witnessed' b'the' b'years' b'of' b'terrorism' b'committed' b'by' b'police' b'in' b'the' b'black'"
516,b'fightnightx' b'nmf4life' b'khan' b'has' b'been' b'facing' b'nothing' b'but' b'trash' b'since' b'his' b'l' b'to'
517,"b'fletchermassie' b'telcoag' b'rcb05' b'go' b'back' b'to' b'mutt,' b'rev' b'i' b'style.' b'of' b'course,' b'that' b'would' b'necessitate' b'running' b'over' b'a' b'dog' b'and' b'adopting'"
518,b'floralelephants' b'the' b'wasp' b'of' b'angry' b'legend.' b'beat' b'it' b'into' b'a' b'squishy'
519,"b'flyers4cup' b'boy' b'i' b'had' b'no' b'idea' b'that' b'was' b'coming.' b""it's"" b'called' b'a' b'smartphone.' b""you're"" b'horrible' b'at' b'trash'"
520,b'francoiskilljoy' b'marshall' b'law!' b'whatever' b'you'
521,"b'fru_iam' b'i' b'seen' b'sum' b'of' b'it' b'but' b""i'm"" b'tryin' b'see' b'lox' b'n'"
522,b'fuckkennyj'
523,"b'funnypicsdepot' b""he's"" b'a'"
524,"b'furrystoat' b'for' b'the' b'record' b'#nohomo' b'but' b""don't"" b'care' b'who' b'is' b'unless' b'i' b'gotta' b'see' b'it..' b'same' b'with' b'every' b'sexuality' b'even' b'birds,' b'dogs..' b'what'"
525,"b'gopblackchick' b'barrackobama' b'just' b'said' b'u.s.was' b'full' b'of' b'nice,giving,smart' b'ppl.i' b'thought' b'we' b'were' b'mean,unexceptional,bitter'"
526,"b'groundzero1984' b""that's"" b'true' b'in' b'some' b'ways.' b'gaming' b'is' b'very' b'broad' b'now' b'a' b'days' b'tho.' b'everyone' b'is' b'a' b'gamer' b'with' b'candy' b'crush' b'and' b'angry'"
527,"b'gwdrums' b'samzbikowski' b'oh,' b'wait!' b'*""can' b'i' b'get' b'that' b'photo' b'of' b'me' b'playin' b'with' b""creed's"" b'side' b'project' b'by' b'itself?""' b'my' b'bad.' b'yeah,' b'fob' b'is'"
528,b'gabejgonzalez' b'rpopbox' b'and' b'a' b'prime' b'leija' b'would' b'trash' b'most' b'of' b'these' b'140' b'dudes'
529,b'garciac28' b'those' b'nudes' b'were' b'trash'
530,"b'gertrude_larue' b'i' b'is' b'colored,' b'latino' b'and' b'some' b'jewish.' b'when' b'i' b'move' b'in,' b'i' b""don't"" b'ruin' b'the' b'neighborhood,' b'i' b'wipe' b'it'"
531,"b'gingerdemoness' b'riotcast' b'weirdmedicine' b'i' b'wants' b'to' b'call' b'bouts' b'my' b'vitaligro' b'but' b'i' b""ain't"" b'sho' b'if' b'you' b'a' b'doctor' b'fo' b'da' b'colored'"
532,"b'gladvillian' b'u' b'want' b'me' b'to' b'make' b'u' b'one' b'of' b'my' b'ghetto' b'nunchucks,' b'they' b'come' b'in' b'singles' b'and'"
533,b'gladvillian_' b'dont' b'get' b'that' b'bacon' b'stuffed' b'crust' b'tho' b'its'
534,b'gonewithkalijah' b'she' b'was' b'always' b'a' b'pathetic' b'mutt' b'desperately' b'seeking' b'attention' b'&amp;' b'a' b'purpose.' b'no' b'matter' b'what' b'jp' b'writes' b'that' b'will' b'never'
535,b'gossipcop' b'jay-z' b'and' b'bey' b'they' b'will' b'never' b'be..jus'
536,"b'greghillwaaf' b'new' b'show:thursdays' b'with' b'jinxy' b'broadcast' b'from' b'the' b'moon' b""it's"" b'made' b'of' b'chunky' b'blue' b'cheese' b'you'"
537,b'greghillwaaf' b'soo' b'what' b'you' b'putting' b'on' b'those' b'crackers'
538,"b'grotesmurf0' b'illmartino' b'svenstweet' b'kangucup3' b'goh' b'd' b'anoniemeaso' b'meeting' b'heeft' b'weer' b'pauze.nog' b'steeds' b'niet' b'bij' b'hoofdstuk:hoe' b'haal' b'ik' b""m'n"""
539,b'gutta_dadon' b'i' b'never' b'really' b'rocked' b'with' b'the' b'white' b'sole.' b'i' b'feel' b'ya' b'bro.' b'but' b'these!!?' b'my' b'favorite' b'foam' b'of' b'all'
540,"b'hauntingilinsky' b'sorryimalex' b'bc' b'taylorcaniff' b'is' b'trash' b'why' b'would' b'he' b'lie' b'about' b'that?' b'i' b'told' b'you' b""he's"""
541,"b'hberghattie' b'snkscoyote' b'i' b'wonder' b'if' b'the' b'progs' b""didn't"" b'relegate' b'young' b'black' b'men' b'to' b'the' b'ghettos' b'to' b'keep' b'them' b'away' b'from' b'harry' b""reid's"""
542,b'halleybrenks3'
543,b'harleyyyquinn_'
544,b'haseenabakhtali' b'steen020' b'madraq' b'altyd' b'zo' b'geweest' b'hoe' b'vaak' b'men' b'ook' b'zegt:dit' b'nooit' b'meer!lozewoorden.puntjebijpaaltje' b'vertonen' b'z'
545,"b'hbt2013mm' b""i'll"" b'ask' b'you' b'same' b'question' b'do' b'you' b'support' b'border' b'jumpers' b'do' b'you' b'support'"
546,"b'heatherelisep' b'and' b'plus,' b""it's"" b'trash' b'talk.' b'you' b'should' b'know' b'that' b'especially' b'with' b'ole'"
547,"b'helgasfishtales' b'omg!' b'i' b""don't"" b'even' b'know' b'where' b'kimlau' b'sq' b'is...i' b'would' b'been' b'like,""look' b'a' b'bird!""' b'then' b'ran' b'for' b'the' b'hills!'"
548,b'hendrixoxo' b'lemme' b'guess' b'you' b'wore' b'the' b'hilly' b'hicks' b'sweats/leggings'
549,"b'hobsondarlene' b'#blessjesus' b'amos' b'3:3' b'can' b'two' b'walk' b'together,' b'unless' b'they' b'are'"
550,b'honeysuckle_tav' b'well' b'he' b'canonically' b'plays' b'the' b'troll' b'equivalent' b'of' b'pokemon...' b'*throws' b'the' b'new' b'fairy' b'type' b'at'
551,b'honorchriskyle' b'_tony_soprano2' b'amen' b'on' b'this' b'tweet.' b'105' b'mm' b'rockets' b'from' b'victor' b'charlie' b'leave' b'a' b'lasting'
552,b'hovaa_' b'what' b'about' b'yellow'
553,b'hovaa_' b'your' b'pet' b'zebra.'
554,b'huffingtonpost' b'looks' b'like' b'any' b'other' b'little' b'porch' b'monkey' b'to'
555,b'huntermoore' b'bout' b'to' b'be' b'in' b'ike' b'a' b'couple'
556,b'huntsthewind' b'i' b'wonder' b'if' b'i' b'have' b'my' b'very' b'own' b'nsa' b'spook' b'following' b'me' b'by'
557,b'iamqueenlatifah' b'plated' b'letz' b'getup' b'deep' b'dish' b'vocal' b'mix' b'nagasaki' b'hiroshima' b'yellow' b'asian' b'flu' b'^n' b'emoto' b'ill' b'egg'
558,"b'iampikey' b'i' b'wonders' b'why' b'dare' b""ain't"" b'no' b'colored' b'folk' b'up'"
559,"b'ihatestevensing' b'i' b""ain't"" b'to' b'show' b'bout' b'dem' b'colored' b'diamonds' b'you' b'talk' b'about' b'on' b'da' b'radio.' b'any' b'diamond' b'you' b'gets' b'from' b'a' b'colored' b'be'"
560,b'imnotmakingitup' b'hey' b'u' b'just' b'followed' b'me' b'not' b'long' b'ago.' b'gonna' b'nip' b'that' b'in' b'da' b'bud.' b'like' b'ur' b'bio' b'tho.' b'u' b'know' b'the' b'white' b'devils' b'stole' b'our'
561,b'i_gotone' b'you' b'look' b'like' b'flappy'
562,b'iamsaintbryan' b'they' b'call' b'me' b'yellow'
563,b'ilovebamf' b'whats' b'it' b'say...' b'i' b'see' b'bird' b'in' b'it...'
564,"b'imsoooomad' b'guess' b""who's"" b'eating' b'cracker' b'b' b'without'"
565,b'imtoomuch' b'bread' b'in' b'general' b'aint' b'too' b'good' b'for' b'ya...but' b'honky' b'bread' b'the'
566,"b'inediblefood' b'quickscoping' b'trash.' b'take' b'of' b'the' b'tony' b'hawk' b'setup' b'and' b'play' b'normally.' b""that's"" b'not' b'what' b'snipers' b'are'"
567,"b'intentionaltalk' b'half' b'jar' b'of' b'marmalade,' b'shaved' b'monkey,' b'saran' b'wrap,' b'mini' b'horse.' b'give' b'your' b'best'"
568,b'ish_mallymal' b'jayjuice22' b'all' b'trash' b'to'
569,b'ish_mallymal' b'august' b'is'
570,b'itskiaraaaa' b'looks' b'like' b'you' b'took' b'a' b'red' b'marker' b'and' b'colored' b'on' b'your'
571,b'itsmander' b'you' b'tryin' b'to' b'say'
572,b'itsmegrizz' b'dink' b'now' b'uknow' b'thats' b'not'
573,b'jllve' b'looks' b'prime' b'for' b'some' b'trash' b'pick'
574,"b'jrealmo' b'i' b""don't"" b'think' b'they' b'believe' b'in' b'their' b'communities' b'ability' b'to' b'function' b'w/out' b'whitey.' b'they' b'choose' b'to' b'be' b'hustled' b'by' b'big'"
575,"b'jstarrtweets' b'i' b'took' b'it' b'harder' b'when' b'rivera' b'retired.' b""i'm"" b'not' b'a' b'yankee' b'fan' b'but' b'i' b'have' b'a' b'lot' b'of' b'love' b'and' b'respect' b'for' b'em.' b'especially' b'the' b'core'"
576,b'jstarrtweets' b'my' b'pops' b'is' b'from' b'new' b'york.' b'my' b'family' b'is' b'yankee' b'obsessed.' b'my' b'sister' b'literally' b'cried' b'when' b'she' b'heard' b'he' b'was'
577,b'jt_cameron92' b'or' b'your' b'in' b'the'
578,b'j_logan' b'and' b'you' b'know' b'best' b'about' b'the' b'bird'
579,b'jamesdajewison' b'&lt;&lt;best' b'name' b'on' b'twitter' b'ever!!' b'aka;' b'jewbacca&lt;&lt;second' b'best' b'name' b'on'
580,"b'jamiewinn4' b""that's"" b'""energy""' b'the' b'city' b'is' b'""electric""' b'gotta' b'go' b'to' b'yankees' b'stadium,' b'when' b'they' b'are' b'winning.' b'it' b'is' b'truly'"
